CUSIP,MARKET,COUNTRY,TICKER,BENCHMARK, CPN ,SECURITY_NAME, MATURITY , DUR_ADJ_MID , PX_BID , PX_ASK , PX_LAST , PX_LOW , PX_HIGH , YLD_YTM_MID , Z_SPRD_MID , CHG_NET_1D , CHG_PCT_1D 
EH909778 Corp,CREDIT,CO,ECOPET,,7.63,ECOPET 7 5/8 07/23/19,7/23/2019,1.33,105.7,105.9,105.8,105.8,105.85,3.356,98,-0.02,-0.01
EJ828285 Corp,CREDIT,CO,ECOPET,,5.88,ECOPET 5 7/8 09/18/23,9/18/2023,4.64,107.7,108.4,108.05,107.9,108.1,4.234,151,-0.02,-0.02
EK483779 Corp,CREDIT,CO,ECOPET,,4.13,ECOPET 4 1/8 01/16/25,1/16/2025,5.9,97.95,98.7,98.35,98.2,98.35,4.409,164,0.1,0.1
EK996043 Corp,CREDIT,CO,ECOPET,B10,5.38,ECOPET 5 3/8 06/26/26,6/26/2026,6.49,104.9,105.65,105.25,105.15,105.35,4.606,179,0.06,0.06
EJ828615 Corp,CREDIT,CO,ECOPET,,7.38,ECOPET 7 3/8 09/18/43,9/18/2043,12.16,117.65,118.55,118.1,117.8,118.3,5.982,305,0.2,0.17
EK288577 Corp,CREDIT,CO,ECOPET,B30,5.88,ECOPET 5 7/8 05/28/45,5/28/2045,13.24,98.5,99.4,98.95,98.7,99.1,5.954,302,0.15,0.15
EH770437 Corp,CREDIT,CO,PERU,,7.13,PERU 7 1/8 03/30/19,3/30/2019,1.03,105.05,105.35,105.2,105.05,105.2,2.277,-3,-0.02,-0.02
EF021147 Corp,CREDIT,CO,PERU,,7.35,PERU 7.35 07/21/25,7/21/2025,5.89,124.9,125.25,125.1,124.85,125.35,3.475,70,-0.14,-0.11
UV549805 Corp,CREDIT,PE,PERU,B10,4.13,PERU 4 1/8 08/25/27,8/25/2027,7.84,103.95,104.35,104.15,103.95,104.6,3.606,77,0.19,0.18
ED227694 Corp,CREDIT,PE,PERU,,8.75,PERU 8 3/4 11/21/33,11/21/2033,9.79,151.3,151.95,151.6,151.4,151.75,4.224,132,0.18,0.12
EG222405 Corp,CREDIT,PE,PERU,,6.55,PERU 6.55 03/14/37,3/14/2037,11.26,129.15,129.75,129.45,129.2,129.8,4.274,125,0.29,0.23
EI466093 Corp,CREDIT,PE,PERU,B30,5.63,PERU 5 5/8 11/18/50,11/18/2050,16.16,119.85,120.35,120.1,119.65,120.5,4.452,152,0.41,0.34
EC366269 Corp,CREDIT,MX,MEX,,8.13,MEX 8 1/8 12/30/19,12/30/2019,1.72,111,111.5,111.25,110.75,111.25,1.867,-59,0.04,0.04
EK019233 Corp,CREDIT,MX,MEX,,3.5,MEX 3 1/2 01/21/21,1/21/2021,2.73,101.85,102.1,102,101.9,102.1,2.784,19,0.03,0.02
EI937368 Corp,CREDIT,MX,MEX,B5,3.63,MEX 3 5/8 03/15/22,3/15/2022,3.69,101.85,102.1,101.95,101.9,102,3.104,43,0.05,0.05
EC690671 Corp,CREDIT,MX,MEX,,8,MEX 8 09/24/22,9/24/2022,3.84,123,124,123.5,123.5,124.75,2.525,-16,-0.42,-0.33
EJ851233 Corp,CREDIT,MX,MEX,,4,MEX 4 10/02/23,10/2/2023,4.91,101.95,102.15,102.05,101.95,102.25,3.591,86,0.01,0.01
EK613894 Corp,CREDIT,MX,MEX,,3.6,MEX 3.6 01/30/25,1/30/2025,6.05,98.15,98.4,98.3,98.15,98.35,3.886,111,0.03,0.03
JV645691 Corp,CREDIT,MX,MEX,,4.13,MEX 4 1/8 01/21/26,1/21/2026,6.67,101.05,101.3,101.2,100.9,101.25,3.949,115,0.16,0.15
TT325005 Corp,CREDIT,MX,MEX,,11.5,MEX 11 1/2 05/15/26,5/15/2026,5.86,152.75,156.5,154.65,153.4,156.95,3.719,93,-2.18,-1.39
AM894305 Corp,CREDIT,MX,MEX,B10,4.15,MEX 4.15 03/28/27,3/28/2027,7.38,99.95,100.2,100.1,99.8,100.2,4.137,131,0.12,0.12
EC434486 Corp,CREDIT,MX,MEX,,8.3,MEX 8.3 08/15/31,8/15/2031,9.19,150.75,151.9,151.35,150.75,151.65,3.489,60,-0.17,-0.11
EC933575 Corp,CREDIT,MX,MEX,,7.5,MEX 7 1/2 04/08/33,4/8/2033,9.67,132.25,133.35,132.8,132.7,134.4,4.487,158,-0.13,-0.1
ED626293 Corp,CREDIT,MX,MEX,,6.75,MEX 6 3/4 09/27/34,9/27/2034,10.44,124.05,124.7,124.4,123.9,124.6,4.627,171,0.15,0.12
EH154466 Corp,CREDIT,MX,MEX,,6.05,MEX 6.05 01/11/40,1/11/2040,12.56,112.45,112.9,112.65,112,112.75,5.084,215,0.45,0.4
EJ053085 Corp,CREDIT,MX,MEX,,4.75,MEX 4 3/4 03/08/44,3/8/2044,14.29,96.15,96.6,96.35,95.65,96.5,5.001,206,0.48,0.5
EK019263 Corp,CREDIT,MX,MEX,,5.55,MEX 5.55 01/21/45,1/21/2045,14.28,107.1,107.7,107.4,107.15,107.5,5.044,211,0.22,0.21
EK694743 Corp,CREDIT,MX,MEX,,4.6,MEX 4.6 01/23/46,1/23/2046,15.14,93.65,94.05,93.85,93.15,93.9,5.013,207,0.55,0.58
QZ178751 Corp,CREDIT,MX,MEX,,4.35,MEX 4.35 01/15/47,1/15/2047,15.61,90.6,91.15,90.85,90.6,91,4.948,201,0.28,0.3
AP391684 Corp,CREDIT,MX,MEX,B30,4.6,MEX 4.6 02/10/48,2/10/2048,15.68,93.7,94.15,93.95,93.25,94.05,4.993,206,0.28,0.3
EI427935 Corp,CREDIT,MX,MEX,,5.75,MEX 5 3/4 10/12/10,10/12/2110,17.11,100.7,101.4,101.05,100.5,101.25,5.69,290,0.25,0.25
EK510117 Corp,CREDIT,MX,PEMEX,,3.13,PEMEX 3 1/8 01/23/19,1/23/2019,0.88,100.15,100.65,100.4,100.35,100.45,2.67,39,0.02,0.02
JV884470 Corp,CREDIT,MX,PEMEX,,5.5,PEMEX 5 1/2 02/04/19,2/4/2019,0.91,103.05,103.15,103.1,103.1,103.1,2.132,-16,-0.01,-0.01
EI391612 Corp,CREDIT,MX,PEMEX,,6,PEMEX 6 03/05/20,3/5/2020,1.85,104.95,105.35,105.15,105.1,105.35,3.343,85,-0.04,-0.04
JK217713 Corp,CREDIT,MX,PEMEX,,3.5,PEMEX 3 1/2 07/23/20,7/23/2020,2.28,100,100.45,100.25,100.2,100.3,3.398,86,-0.01,-0.01
EI391620 Corp,CREDIT,MX,PEMEX,,5.5,PEMEX 5 1/2 01/21/21,1/21/2021,2.66,104.55,105,104.8,104.65,104.8,3.742,115,0.02,0.02
JV884467 Corp,CREDIT,MX,PEMEX,,6.38,PEMEX 6 3/8 02/04/21,2/4/2021,2.67,106.85,107.45,107.15,107.1,107.15,3.776,118,0.05,0.05
EJ296745 Corp,CREDIT,MX,PEMEX,,4.88,PEMEX 4 7/8 01/24/22,1/24/2022,3.52,102.45,102.95,102.7,102.65,102.75,4.118,145,0.02,0.02
QZ556892 Corp,CREDIT,MX,PEMEX,B5,4.63,PEMEX 4 5/8 09/21/23,9/21/2023,4.76,100.05,100.35,100.2,100.2,100.2,4.585,186, -   , -   
ED749749 Corp,CREDIT,MX,PEMEX,,8.63,PEMEX 8 5/8 12/01/23,12/1/2023,4.57,118.25,118.75,118.5,118.45,118.55,4.898,218,0.05,0.04
EJ771282 Corp,CREDIT,MX,PEMEX,,4.88,PEMEX 4 7/8 01/18/24,1/18/2024,5.05,101.25,101.7,101.45,101.35,101.55,4.586,185,0.07,0.07
JK217723 Corp,CREDIT,MX,PEMEX,,4.25,PEMEX 4 1/4 01/15/25,1/15/2025,5.85,96.65,97.15,96.9,96.9,97,4.78,201,0.06,0.06
JK217725 Corp,CREDIT,MX,PEMEX,,4.5,PEMEX 4 1/2 01/23/26,1/23/2026,6.52,96.6,97.1,96.85,96.75,96.95,4.988,219,0.09,0.1
JV884471 Corp,CREDIT,MX,PEMEX,,6.88,PEMEX 6 7/8 08/04/26,8/4/2026,6.44,109.65,110.15,109.9,109.85,109.95,5.398,260,0.05,0.05
AL592939 Corp,CREDIT,MX,PEMEX,B10,6.5,PEMEX 6 1/2 03/13/27,3/13/2027,6.67,106.2,106.7,106.45,106.25,106.5,5.584,277,0.21,0.2
EF249998 Corp,CREDIT,MX,PEMEX,,9.5,PEMEX 9 1/2 09/15/27,9/15/2027,6.47,128.2,129.1,128.55,128.4,128.6,5.587,277,0.19,0.15
EF248345 Corp,CREDIT,MX,PEMEX,,6.63,PEMEX 6 5/8 06/15/35,6/15/2035,10.18,102.3,103.05,102.7,102.45,102.85,6.366,345,0.22,0.22
EH668679 Corp,CREDIT,MX,PEMEX,,6.63,PEMEX 6 5/8 06/15/38,6/15/2038,10.97,100.3,101.15,100.75,100.5,100.75,6.558,363,0.28,0.27
EI802729 Corp,CREDIT,MX,PEMEX,,6.5,PEMEX 6 1/2 06/02/41,6/2/2041,11.69,98.85,99.55,99.2,98.8,99.35,6.566,364,0.32,0.33
EJ296770 Corp,CREDIT,MX,PEMEX,,5.5,PEMEX 5 1/2 06/27/44,6/27/2044,12.92,88.45,89.15,88.8,88.45,89,6.384,345,0.29,0.32
EK510189 Corp,CREDIT,MX,PEMEX,,6.38,PEMEX 6 3/8 01/23/45,1/23/2045,12.48,96.25,97,96.65,96.3,96.8,6.644,372,0.37,0.38
JK217728 Corp,CREDIT,MX,PEMEX,,5.63,PEMEX 5 5/8 01/23/46,1/23/2046,13.12,88.85,89.55,89.2,88.85,89.4,6.465,354,0.42,0.47
QZ556891 Corp,CREDIT,MX,PEMEX,B30,6.75,PEMEX 6 3/4 09/21/47,9/21/2047,12.41,100.3,100.85,100.55,100.35,100.85,6.705,378,0.22,0.22
QZ556963 Corp,CREDIT,JM,PEMEX,B89,6.75,PEMEX 6 3/4 09/21/47,9/21/2047,12.41,100.3,100.85,100.55,100.35,100.85,6.705,378,0.22,
SI156 Comdty,COMMODITIES,NY,SI1,B82,,Generic 1st 'SI' Future,,,16.625,16.63,16.625,16.44,16.72,,,0.141,0.86
